Format Version,1.23,Take Name,Imu data1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-10-23 10.49.27.971 AM,Total Frames in Take,3036,Total Exported Frames,3036,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,imu,imu,imu,imu,imu,imu,imu,imu,"imu:Marker1","imu:Marker1","imu:Marker1","imu:Marker1","imu:Marker2","imu:Marker2","imu:Marker2","imu:Marker2","imu:Marker3","imu:Marker3","imu:Marker3","imu:Marker3","imu:Marker4","imu:Marker4","imu:Marker4","imu:Marker4",Unlabeled 1619,Unlabeled 1619,Unlabeled 1619,Unlabeled 1620,Unlabeled 1620,Unlabeled 1620,Unlabeled 1626,Unlabeled 1626,Unlabeled 1626,Unlabeled 1627,Unlabeled 1627,Unlabeled 1627,Unlabeled 1629,Unlabeled 1629,Unlabeled 1629,Unlabeled 1632,Unlabeled 1632,Unlabeled 1632,Unlabeled 1633,Unlabeled 1633,Unlabeled 1633,Unlabeled 1634,Unlabeled 1634,Unlabeled 1634,Unlabeled 1635,Unlabeled 1635,Unlabeled 1635,Unlabeled 1636,Unlabeled 1636,Unlabeled 1636,Unlabeled 1637,Unlabeled 1637,Unlabeled 1637,Unlabeled 1638,Unlabeled 1638,Unlabeled 1638,Unlabeled 1640,Unlabeled 1640,Unlabeled 1640,Unlabeled 1641,Unlabeled 1641,Unlabeled 1641,Unlabeled 1642,Unlabeled 1642,Unlabeled 1642,Unlabeled 1643,Unlabeled 1643,Unlabeled 1643,Unlabeled 1644,Unlabeled 1644,Unlabeled 1644,Unlabeled 1646,Unlabeled 1646,Unlabeled 1646,Unlabeled 1650,Unlabeled 1650,Unlabeled 1650,Unlabeled 1652,Unlabeled 1652,Unlabeled 1652,Unlabeled 1654,Unlabeled 1654,Unlabeled 1654,Unlabeled 1655,Unlabeled 1655,Unlabeled 1655,imu:Marker1,imu:Marker1,imu:Marker1,imu:Marker2,imu:Marker2,imu:Marker2,imu:Marker3,imu:Marker3,imu:Marker3,imu:Marker4,imu:Marker4,imu:Marker4
,ID,"91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","91654171911A11EF8AE82AD64BB4BC87","D0F30","D0F30","D0F30","D0F80","D0F80","D0F80","D11F0","D11F0","D11F0","D1210","D1210","D1210","D1230","D1230","D1230","D1260","D1260","D1260","D1250","D1250","D1250","D1270","D1270","D1270","D1290","D1290","D1290","D12A0","D12A0","D12A0","D1280","D1280","D1280","D12B0","D12B0","D12B0","D12D0","D12D0","D12D0","D12F0","D12F0","D12F0","D1300","D1300","D1300","D1310","D1310","D1310","D12E0","D12E0","D12E0","D1330","D1330","D1330","D1380","D1380","D1380","D13A0","D13A0","D13A0","D13C0","D13C0","D13C0","D13D0","D13D0","D13D0","CF2A0","CF2A0","CF2A0","D0A30","D0A30","D0A30","CF360","CF360","CF360","CF4D0","CF4D0","CF4D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.003571,0.350947,-0.006390,0.936367,-0.323317,0.668544,0.371976,0.000223,-0.322330,0.670063,0.352523,0.909915,-0.325784,0.670245,0.386640,0.961680,-0.339464,0.670403,0.370868,0.974574,-0.305691,0.663465,0.377875,0.898184,0.521131,0.003493,-0.019882,0.112906,0.571473,0.120266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322098,0.670040,0.352797,-0.325810,0.670368,0.386727,-0.339470,0.670302,0.370861,-0.305892,0.663465,0.377521
1,0.010000,0.003507,0.350928,-0.006561,0.936373,-0.323319,0.668546,0.371978,0.000221,-0.322330,0.670059,0.352524,0.909915,-0.325786,0.670251,0.386641,0.961680,-0.339464,0.670409,0.370868,0.974574,-0.305694,0.663463,0.377878,0.898184,,,,0.112913,0.571466,0.120269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322096,0.670038,0.352796,-0.325816,0.670378,0.386728,-0.339475,0.670306,0.370864,-0.305888,0.663460,0.377523
2,0.020000,0.003483,0.350902,-0.006466,0.936384,-0.323320,0.668547,0.371975,0.000221,-0.322331,0.670061,0.352521,0.910020,-0.325788,0.670251,0.386638,0.960813,-0.339466,0.670407,0.370864,0.974133,-0.305695,0.663468,0.377876,0.898907,0.521131,0.003515,-0.019871,0.112908,0.571469,0.120293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322098,0.670041,0.352793,-0.325818,0.670377,0.386721,-0.339471,0.670304,0.370863,-0.305893,0.663466,0.377523
3,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,0.521126,0.003489,-0.019861,0.112906,0.571472,0.120268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322101,0.670043,0.352790,-0.325820,0.670383,0.386718,-0.339475,0.670305,0.370862,-0.305891,0.663460,0.377524
4,0.040000,0.003447,0.350912,-0.006632,0.936379,-0.323323,0.668544,0.371971,0.000219,-0.322333,0.670055,0.352516,0.910251,-0.325790,0.670252,0.386633,0.961503,-0.339468,0.670409,0.370860,0.974127,-0.305699,0.663461,0.377872,0.898691,0.521122,0.003485,-0.019864,0.112908,0.571477,0.120269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322098,0.670036,0.352787,-0.325822,0.670382,0.386717,-0.339477,0.670303,0.370860,-0.305893,0.663456,0.377518
5,0.050000,-0.003489,-0.350951,0.006545,-0.936364,-0.323325,0.668549,0.371965,0.000222,-0.322337,0.670062,0.352511,0.910145,-0.325791,0.670254,0.386628,0.960444,-0.339471,0.670412,0.370856,0.973390,-0.305700,0.663467,0.377865,0.898855,0.521127,0.003515,-0.019860,0.112907,0.571480,0.120269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322107,0.670041,0.352784,-0.325821,0.670379,0.386716,-0.339474,0.670309,0.370849,-0.305896,0.663465,0.377511
